Qtd. de d20,Bônus total,DT 5,DT 10,DT 15,DT 20,DT 25,DT 30,DT 35
-2,-7,04.10,00.16,,,,,
,-5,09.15,00.81,,,,,
,-3,17.85,02.56,00.05,,,,
,-2,24.01,04.10,00.16,,,,
,0,40.96,09.15,00.81,,,,
,2,65.61,17.85,02.56,00.05,,,
,3,81.45,24.01,04.10,00.16,,,
,5,100.00,40.96,09.15,00.81,,,
,7,100.00,65.61,17.85,02.56,00.05,,
,8,100.00,81.45,24.01,04.10,00.16,,
,10,100.00,100.00,40.96,09.15,00.81,,
,12,100.00,100.00,65.61,17.85,02.56,00.05,
,13,100.00,100.00,81.45,24.01,04.10,00.16,
,15,100.00,100.00,100.00,40.96,09.15,00.81,
,17,100.00,100.00,100.00,65.61,17.85,02.56,00.05
,18,100.00,100.00,100.00,81.45,24.01,04.10,00.16
,20,100.00,100.00,100.00,100.00,40.96,09.15,00.81
,22,100.00,100.00,100.00,100.00,65.61,17.85,02.56
,23,100.00,100.00,100.00,100.00,81.45,24.01,04.10
,25,100.00,100.00,100.00,100.00,100.00,40.96,09.15
,27,100.00,100.00,100.00,100.00,100.00,65.61,17.85
,28,100.00,100.00,100.00,100.00,100.00,81.45,24.01
,30,100.00,100.00,100.00,100.00,100.00,100.00,40.96
,32,100.00,100.00,100.00,100.00,100.00,100.00,65.61
-1,-7,09.11,00.80,,,,,
,-5,16.64,02.70,00.01,,,,
,-3,27.46,06.40,00.34,,,,
,-2,34.30,09.11,00.80,,,,
,0,51.20,16.64,02.70,00.01,,,
,2,72.90,27.46,06.40,00.34,,,
,3,85.74,34.30,09.11,00.80,,,
,5,100.00,51.20,16.64,02.70,00.01,,
,7,100.00,72.90,27.46,06.40,00.34,,
,8,100.00,85.74,34.30,09.11,00.80,,
,10,100.00,100.00,51.20,16.64,02.70,00.01,
,12,100.00,100.00,72.90,27.46,06.40,00.34,
,13,100.00,100.00,85.74,34.30,09.11,00.80,
,15,100.00,100.00,100.00,51.20,16.64,02.70,00.01
,17,100.00,100.00,100.00,72.90,27.46,06.40,00.34
,18,100.00,100.00,100.00,85.74,34.30,09.11,00.80
,20,100.00,100.00,100.00,100.00,51.20,16.64,02.70
,22,100.00,100.00,100.00,100.00,72.90,27.46,06.40
,23,100.00,100.00,100.00,100.00,85.74,34.30,09.11
,25,100.00,100.00,100.00,100.00,100.00,51.20,16.64
,27,100.00,100.00,100.00,100.00,100.00,72.90,27.46
