,,Número de sucessos,,,,,,,,,,Número de sucessos,,,,,,,,,
Número de d20,DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10),DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10)
1,20,05.00% (00.00%),05.00% (05.00%),,,,,,,,,19,10.00% (05.00%),05.00% (05.00%),,,,,,,,
2,,09.75% (00.50%),09.25% (09.00%),00.25% (00.00%),00.25% (00.25%),,,,,,,,18.50% (09.00%),09.50% (08.75%),00.75% (00.50%),00.25% (00.25%),,,,,,
3,,14.23% (01.35%),12.88% (12.15%),00.73% (00.04%),00.69% (00.68%),00.01% (00.00%),00.01% (00.01%),,,,,,25.75% (12.15%),13.60% (11.55%),02.05% (01.33%),00.73% (00.68%),00.05% (00.04%),00.01% (00.01%),,,,
4,,18.41% (02.43%),15.98% (14.58%),01.40% (00.14%),01.26% (01.22%),00.05% (00.00%),00.05% (00.05%),,,,,,31.96% (14.59%),17.37% (13.63%),03.75% (02.35%),01.40% (01.22%),00.18% (00.13%),00.05% (00.05%),,,,
5,,22.31% (03.65%),18.66% (16.42%),02.24% (00.30%),01.94% (01.82%),00.12% (00.01%),00.10% (00.10%),,,,,,37.30% (16.42%),20.88% (15.15%),05.72% (03.46%),02.26% (01.84%),00.41% (00.29%),00.12% (00.11%),00.01% (00.01%),,,
6,,25.91% (04.92%),20.99% (17.76%),03.23% (00.55%),02.68% (02.46%),00.22% (00.03%),00.19% (00.18%),00.01% (00.00%),00.01% (00.01%),,,,41.92% (17.77%),24.15% (16.26%),07.88% (04.62%),03.27% (02.51%),00.76% (00.52%),00.24% (00.20%),00.04% (00.03%),00.01% (00.01%),,
7,,29.24% (06.21%),23.03% (18.70%),04.34% (00.86%),03.48% (03.11%),00.37% (00.06%),00.31% (00.29%),00.02% (00.00%),00.02% (00.02%),,,,45.93% (18.72%),27.22% (17.05%),10.17% (05.75%),04.42% (03.20%),01.21% (00.81%),00.40% (00.32%),00.08% (00.06%),00.02% (00.02%),,
8,,32.30% (07.45%),24.84% (19.30%),05.54% (01.24%),04.30% (03.73%),00.57% (00.11%),00.45% (00.41%),00.04% (00.01%),00.03% (00.03%),,,,49.44% (19.33%),30.11% (17.59%),12.52% (06.84%),05.68% (03.90%),01.78% (01.15%),00.63% (00.48%),00.15% (00.11%),00.04% (00.04%),00.01% (00.01%),
9,,35.10% (08.64%),26.46% (19.65%),06.81% (01.68%),05.14% (04.33%),00.81% (00.19%),00.62% (00.56%),00.06% (00.01%),00.05% (00.05%),,,,52.53% (19.69%),32.85% (17.94%),14.91% (07.85%),07.05% (04.60%),02.46% (01.54%),00.92% (00.66%),00.25% (00.18%),00.08% (00.06%),00.02% (00.01%),
10,,37.67% (09.73%),27.93% (19.79%),08.15% (02.16%),05.99% (04.89%),01.10% (00.28%),00.82% (00.72%),00.10% (00.02%),00.08% (00.07%),00.01% (00.00%),,,55.27% (19.83%),35.44% (18.15%),17.29% (08.79%),08.51% (05.27%),03.23% (01.96%),01.27% (00.88%),00.39% (00.26%),00.12% (00.09%),00.03% (00.02%),00.01% (00.01%)
11,,40.01% (10.73%),29.28% (19.77%),09.51% (02.67%),06.84% (05.40%),01.44% (00.40%),01.04% (00.89%),00.15% (00.04%),00.11% (00.10%),00.01% (00.00%),00.01% (00.01%),,57.70% (19.81%),37.89% (18.24%),19.66% (09.63%),10.03% (05.93%),04.10% (02.42%),01.68% (01.12%),00.56% (00.37%),00.19% (00.14%),00.05% (00.04%),00.01% (00.01%)
12,,42.16% (11.62%),30.53% (19.63%),10.90% (03.21%),07.69% (05.87%),01.82% (00.53%),01.29% (01.08%),00.21% (00.06%),00.15% (00.13%),00.02% (00.00%),00.01% (00.01%),,59.88% (19.66%),40.23% (18.24%),21.99% (10.38%),11.61% (06.55%),05.05% (02.89%),02.16% (01.39%),00.77% (00.50%),00.28% (00.19%),00.08% (00.06%),00.02% (00.02%)
13,,44.12% (12.41%),31.71% (19.40%),12.31% (03.77%),08.54% (06.29%),02.25% (00.70%),01.55% (01.27%),00.29% (00.09%),00.20% (00.17%),00.03% (00.01%),00.02% (00.02%),,61.85% (19.40%),42.45% (18.17%),24.28% (11.05%),13.23% (07.15%),06.08% (03.37%),02.71% (01.68%),01.03% (00.65%),00.39% (00.26%),00.12% (00.08%),00.04% (00.03%)
14,,45.91% (13.09%),32.82% (19.11%),13.71% (04.32%),09.39% (06.67%),02.72% (00.88%),01.84% (01.46%),00.38% (00.12%),00.26% (00.22%),00.04% (00.01%),00.03% (00.02%),,63.64% (19.08%),44.56% (18.05%),26.51% (11.63%),14.88% (07.70%),07.18% (03.86%),03.32% (01.99%),01.34% (00.82%),00.52% (00.34%),00.18% (00.12%),00.06% (00.04%)
15,,47.55% (13.67%),33.87% (18.77%),15.10% (04.88%),10.22% (07.00%),03.22% (01.08%),02.14% (01.65%),00.49% (00.16%),00.33% (00.27%),00.06% (00.02%),00.04% (00.03%),,65.27% (18.70%),46.57% (17.88%),28.69% (12.13%),16.56% (08.22%),08.34% (04.35%),03.99% (02.31%),01.69% (01.00%),00.69% (00.44%),00.25% (00.16%),00.09% (00.06%)
16,,49.05% (14.16%),34.89% (18.41%),16.48% (05.43%),11.06% (07.29%),03.76% (01.30%),02.47% (01.84%),00.62% (00.22%),00.41% (00.33%),00.08% (00.03%),00.05% (00.04%),,66.76% (18.27%),48.49% (17.68%),30.81% (12.55%),18.26% (08.71%),09.55% (04.83%),04.72% (02.64%),02.09% (01.21%),00.88% (00.55%),00.33% (00.21%),00.12% (00.08%)
17,,50.43% (14.55%),35.88% (18.04%),17.84% (05.96%),11.88% (07.55%),04.33% (01.53%),02.80% (02.04%),00.77% (00.28%),00.49% (00.39%),00.10% (00.04%),00.07% (00.06%),,68.14% (17.83%),50.31% (17.45%),32.86% (12.90%),19.96% (09.15%),10.81% (05.30%),05.51% (02.98%),02.53% (01.43%),01.10% (00.67%),00.44% (00.27%),00.17% (00.11%)
18,,51.69% (14.86%),36.83% (17.66%),19.17% (06.46%),12.71% (07.77%),04.93% (01.78%),03.16% (02.22%),00.93% (00.34%),00.59% (00.45%),00.13% (00.05%),00.08% (00.07%),,69.42% (17.36%),52.06% (17.20%),34.85% (13.18%),21.67% (09.56%),12.10% (05.75%),06.35% (03.33%),03.02% (01.66%),01.36% (00.80%),00.56% (00.34%),00.22% (00.14%)
1,18,15.00% (10.00%),05.00% (05.00%),,,,,,,,,17,20.00% (15.00%),05.00% (05.00%),,,,,,,,
2,,26.75% (16.50%),10.25% (09.00%),01.25% (01.00%),00.25% (00.25%),,,,,,,,34.50% (23.00%),11.50% (09.75%),01.75% (01.50%),00.25% (00.25%),,,,,,
3,,36.08% (20.55%),15.53% (12.15%),03.38% (02.54%),00.84% (00.75%),00.09% (00.08%),00.01% (00.01%),,,,,,45.27% (26.77%),18.50% (13.72%),04.78% (03.75%),01.03% (00.90%),00.13% (00.11%),00.01% (00.01%),,,,
4,,43.58% (22.90%),20.68% (14.58%),06.10% (04.31%),01.79% (01.47%),00.32% (00.26%),00.06% (00.06%),00.01% (00.01%),,,,,53.48% (28.04%),25.45% (16.78%),08.67% (06.25%),02.42% (01.93%),00.49% (00.41%),00.08% (00.07%),00.01% (00.01%),,,
5,,49.70% (24.06%),25.63% (16.42%),09.21% (06.12%),03.09% (02.35%),00.75% (00.57%),00.17% (00.14%),00.03% (00.02%),,,,,59.89% (27.83%),32.06% (18.94%),13.12% (08.71%),04.41% (03.24%),01.17% (00.91%),00.25% (00.21%),00.04% (00.04%),00.01% (00.01%),,
6,,54.76% (24.43%),30.33% (17.76%),12.57% (07.86%),04.71% (03.34%),01.37% (01.01%),00.37% (00.29%),00.08% (00.06%),00.01% (00.01%),,,,65.01% (26.81%),38.20% (20.34%),17.86% (10.92%),06.94% (04.73%),02.20% (01.62%),00.59% (00.46%),00.13% (00.11%),00.02% (00.02%),,
7,,59.00% (24.25%),34.75% (18.69%),16.07% (09.45%),06.61% (04.40%),02.22% (01.55%),00.67% (00.50%),00.17% (00.13%),00.04% (00.03%),00.01% (00.01%),,,69.18% (25.36%),43.82% (21.10%),22.72% (12.82%),09.90% (06.29%),03.62% (02.49%),01.12% (00.83%),00.30% (00.23%),00.07% (00.05%),00.01% (00.01%),
8,,62.61% (23.72%),38.89% (19.28%),19.61% (10.86%),08.75% (05.47%),03.27% (02.18%),01.10% (00.78%),00.31% (00.23%),00.08% (00.06%),00.02% (00.01%),,,72.64% (23.71%),48.92% (21.36%),27.57% (14.36%),13.21% (07.82%),05.39% (03.49%),01.90% (01.32%),00.57% (00.42%),00.15% (00.12%),00.03% (00.03%),00.01% (00.01%)
9,,65.71% (22.96%),42.75% (19.60%),23.14% (12.08%),11.07% (06.54%),04.53% (02.87%),01.66% (01.13%),00.53% (00.38%),00.15% (00.11%),00.04% (00.03%),00.01% (00.01%),,75.56% (22.02%),53.54% (21.23%),32.31% (15.55%),16.76% (09.26%),07.50% (04.58%),02.92% (01.93%),00.99% (00.70%),00.30% (00.22%),00.08% (00.06%),00.02% (00.01%)
10,,68.40% (22.07%),46.34% (19.71%),26.63% (13.10%),13.53% (07.56%),05.97% (03.61%),02.36% (01.54%),00.82% (00.56%),00.26% (00.19%),00.07% (00.05%),00.02% (00.01%),,78.06% (20.35%),57.70% (20.82%),36.88% (16.41%),20.46% (10.57%),09.90% (05.70%),04.20% (02.63%),01.57% (01.05%),00.52% (00.37%),00.15% (00.11%),00.04% (00.03%)
11,,70.77% (21.10%),49.67% (19.64%),30.03% (13.93%),16.10% (08.52%),07.58% (04.38%),03.20% (02.00%),01.20% (00.79%),00.41% (00.29%),00.13% (00.09%),00.04% (00.03%),,80.21% (18.76%),61.45% (20.21%),41.24% (16.98%),24.26% (11.71%),12.55% (06.81%),05.74% (03.41%),02.33% (01.49%),00.84% (00.57%),00.27% (00.19%),00.08% (00.06%)
12,,72.87% (20.10%),52.76% (19.43%),33.34% (14.59%),18.75% (09.41%),09.33% (05.15%),04.18% (02.50%),01.68% (01.07%),00.62% (00.41%),00.20% (00.14%),00.06% (00.04%),,82.10% (17.27%),64.83% (19.46%),45.37% (17.29%),28.08% (12.68%),15.40% (07.88%),07.51% (04.24%),03.28% (01.99%),01.28% (00.83%),00.45% (00.31%),00.14% (00.10%)
